,,,Target,Units
,,,A16-59,
Channel,Year,Month in Year,Share,
CANAL+ KUCHNIA,2025,12,0.001516,
CANAL+ KUCHNIA,2026,1,0.001008,
CANAL+ KUCHNIA,2026,2,0.000999,
CANAL+ KUCHNIA,2026,3,0.000921,
CANAL+ KUCHNIA,2026,4,0.000927,
CANAL+ KUCHNIA,2026,5,0.000997,
CANAL+ KUCHNIA,2026,6,0.001093,
CANAL+ KUCHNIA,2026,7,0.000552,
Canal+ Seriale,2025,12,0.000060,
Canal+ Seriale,2026,1,0.000209,
Canal+ Seriale,2026,2,0.000137,
Canal+ Seriale,2026,3,0.000141,
Canal+ Seriale,2026,4,0.000134,
Canal+ Seriale,2026,5,0.000126,
Canal+ Seriale,2026,6,0.000149,
Canal+ Seriale,2026,7,0.000081,
Canal+ Sport,2025,1,0.000598,
Canal+ Sport,2025,2,0.000999,
Canal+ Sport,2025,3,0.000965,
Canal+ Sport,2025,4,0.001394,
Canal+ Sport,2025,5,0.001424,
Canal+ Sport,2025,6,0.000829,
Canal+ Sport,2025,7,0.000555,
Canal+ Sport,2025,8,0.001348,
Canal+ Sport,2025,9,0.001382,
Canal+ Sport,2025,10,0.000916,
Canal+ Sport,2025,11,0.000707,
Canal+ Sport,2025,12,0.000505,
Canal+ Sport,2026,1,0.000711,
Canal+ Sport,2026,2,0.000686,
Canal+ Sport,2026,3,0.000681,
Canal+ Sport,2026,4,0.001900,
Canal+ Sport,2026,5,0.001989,
Canal+ Sport,2026,6,0.000906,
Canal+ Sport,2026,7,0.000046,
Canal+ Sport2,2025,1,0.000186,
Canal+ Sport2,2025,2,0.001144,
Canal+ Sport2,2025,3,0.001539,
Canal+ Sport2,2025,4,0.000957,
Canal+ Sport2,2025,5,0.000743,
Canal+ Sport2,2025,6,0.000909,
Canal+ Sport2,2025,7,0.000288,
Canal+ Sport2,2025,8,0.001332,
Canal+ Sport2,2025,9,0.000804,
Canal+ Sport2,2025,10,0.000604,
Canal+ Sport2,2025,11,0.000530,
Canal+ Sport2,2025,12,0.000089,
Canal+ Sport2,2026,1,0.000086,
Canal+ Sport2,2026,2,0.000423,
Canal+ Sport2,2026,3,0.000915,
Canal+ Sport2,2026,4,0.000865,
Canal+ Sport2,2026,5,0.000919,
Canal+ Sport2,2026,6,0.000213,
Canal+ Sport2,2026,7,0.000014,
CANAL+ SPORT3,2025,1,0.000249,
CANAL+ SPORT3,2025,2,0.002158,
CANAL+ SPORT3,2025,3,0.001824,
CANAL+ SPORT3,2025,4,0.002432,
CANAL+ SPORT3,2025,5,0.001769,
CANAL+ SPORT3,2025,6,0.000035,
CANAL+ SPORT3,2025,7,0.001373,
CANAL+ SPORT3,2025,8,0.002636,
CANAL+ SPORT3,2025,9,0.001933,
CANAL+ SPORT3,2025,10,0.001887,
CANAL+ SPORT3,2025,11,0.001977,
CANAL+ SPORT3,2025,12,0.001095,
CANAL+ SPORT3,2026,1,0.000438,
CANAL+ SPORT3,2026,2,0.003063,
CANAL+ SPORT3,2026,3,0.002638,
CANAL+ SPORT3,2026,4,0.002997,
CANAL+ SPORT3,2026,5,0.002794,
CANAL+ SPORT3,2026,6,0.000055,
CANAL+ SPORT3,2026,7,0.000068,
CANAL+ SPORT4,2025,1,0.000057,
CANAL+ SPORT4,2025,2,0.000085,
CANAL+ SPORT4,2025,3,0.000083,
CANAL+ SPORT4,2025,4,0.000127,
CANAL+ SPORT4,2025,5,0.000175,
CANAL+ SPORT4,2025,6,0.000042,
CANAL+ SPORT4,2025,7,0.000065,
CANAL+ SPORT4,2025,8,0.000315,
CANAL+ SPORT4,2025,9,0.000139,
CANAL+ SPORT4,2025,10,0.000107,
CANAL+ SPORT4,2025,11,0.000193,
CANAL+ SPORT4,2025,12,0.000068,
CANAL+ SPORT4,2026,1,0.000030,
CANAL+ SPORT4,2026,2,0.000111,
CANAL+ SPORT4,2026,3,0.000069,
CANAL+ SPORT4,2026,4,0.000229,
CANAL+ SPORT4,2026,5,0.000243,
CANAL+ SPORT4,2026,6,0.000053,
CANAL+ SPORT4,2026,7,0.000050,
Canal+ SPORT5,2025,1,0.000270,
Canal+ SPORT5,2025,2,0.000475,
Canal+ SPORT5,2025,3,0.000505,
Canal+ SPORT5,2025,4,0.001514,
Canal+ SPORT5,2025,5,0.001186,
Canal+ SPORT5,2025,6,0.001848,
Canal+ SPORT5,2025,7,0.001617,
Canal+ SPORT5,2025,8,0.001415,
Canal+ SPORT5,2025,9,0.001155,
Canal+ SPORT5,2025,10,0.000518,
Canal+ SPORT5,2025,11,0.000344,
Canal+ SPORT5,2025,12,0.000264,
Canal+ SPORT5,2026,1,0.000197,
Canal+ SPORT5,2026,2,0.000470,
Canal+ SPORT5,2026,3,0.000644,
Canal+ SPORT5,2026,4,0.002111,
Canal+ SPORT5,2026,5,0.002227,
Canal+ SPORT5,2026,6,0.001541,
Canal+ SPORT5,2026,7,0.000197,
CI Polsat,2025,1,0.001670,
CI Polsat,2025,2,0.001416,
CI Polsat,2025,3,0.001085,
CI Polsat,2025,4,0.001048,
CI Polsat,2025,5,0.000980,
CI Polsat,2025,6,0.000903,
CI Polsat,2025,7,0.000970,
CI Polsat,2025,8,0.001015,
CI Polsat,2025,9,0.001185,
CI Polsat,2025,10,0.001041,
CI Polsat,2025,11,0.001232,
CI Polsat,2025,12,0.001209,
CI Polsat,2026,1,0.000882,
CI Polsat,2026,2,0.001597,
CI Polsat,2026,3,0.001176,
CI Polsat,2026,4,0.001147,
CI Polsat,2026,5,0.000963,
CI Polsat,2026,6,0.000928,
CI Polsat,2026,7,0.000759,
Da Vinci,2025,1,0.000153,
Da Vinci,2025,2,0.000106,
Da Vinci,2025,3,0.000116,
Da Vinci,2025,4,0.000097,
Da Vinci,2025,5,0.000095,
Da Vinci,2025,6,0.000069,
Da Vinci,2025,7,0.000056,
Da Vinci,2025,8,0.000083,
Da Vinci,2025,9,0.000072,
Da Vinci,2025,10,0.000074,
Da Vinci,2025,11,0.000084,
Da Vinci,2025,12,0.000040,
Da Vinci,2026,1,0.000110,
Da Vinci,2026,2,0.000065,
Da Vinci,2026,3,0.000043,
Da Vinci,2026,4,0.000187,
Da Vinci,2026,5,0.000044,
Da Vinci,2026,6,0.000046,
Da Vinci,2026,7,0.000030,
Disco Polo Music,2025,1,0.000739,
Disco Polo Music,2025,2,0.001017,
Disco Polo Music,2025,3,0.000939,
Disco Polo Music,2025,4,0.000943,
Disco Polo Music,2025,5,0.001100,
Disco Polo Music,2025,6,0.001171,
Disco Polo Music,2025,7,0.000984,
Disco Polo Music,2025,8,0.000991,
Disco Polo Music,2025,9,0.000649,
Disco Polo Music,2025,10,0.000593,
Disco Polo Music,2025,11,0.000605,
Disco Polo Music,2025,12,0.000855,
Disco Polo Music,2026,1,0.000740,
Disco Polo Music,2026,2,0.000617,
Disco Polo Music,2026,3,0.000566,
Disco Polo Music,2026,4,0.000578,
Disco Polo Music,2026,5,0.000422,
Disco Polo Music,2026,6,0.000801,
Disco Polo Music,2026,7,0.000284,
DocuBox,2025,11,0.000067,
DocuBox,2025,12,0.000076,
DocuBox,2026,1,0.000095,
DocuBox,2026,2,0.000076,
DocuBox,2026,3,0.000059,
DocuBox,2026,4,0.000092,
DocuBox,2026,5,0.000060,
DocuBox,2026,6,0.000052,
DocuBox,2026,7,0.000018,
E!Entertainment,2025,1,0.000133,
E!Entertainment,2025,2,0.000162,
E!Entertainment,2025,3,0.000102,
E!Entertainment,2025,4,0.000071,
E!Entertainment,2025,5,0.000090,
E!Entertainment,2025,6,0.000122,
E!Entertainment,2025,7,0.000100,
E!Entertainment,2025,8,0.000183,
E!Entertainment,2025,9,0.000139,
E!Entertainment,2025,10,0.000129,
E!Entertainment,2025,11,0.000094,
E!Entertainment,2025,12,0.000100,
E!Entertainment,2026,1,0.000068,
E!Entertainment,2026,2,0.000155,
E!Entertainment,2026,3,0.000078,
E!Entertainment,2026,4,0.000068,
E!Entertainment,2026,5,0.000072,
E!Entertainment,2026,6,0.000081,
E!Entertainment,2026,7,0.000066,
Eleven Sports 1,2025,1,0.002233,
Eleven Sports 1,2025,2,0.002602,
Eleven Sports 1,2025,3,0.002624,
Eleven Sports 1,2025,4,0.003065,
