AdvantEdge -  TechEdge © 2026 - Polsat Media
Analysis:,Time
Time:,"07 August 2026, 13:52:28"
Period:,2025-01-01 - 2026-08-05,[25-27]
Targets:,"Poland OOH	Nat[Live +2 OOH]	A16-59	58,310%	-	19481540	4563"
------------------------------------

,,,Target,Universe,Units
,,,A16-59,,
,,,Nat[Live +2 OOH],,
Channel,Year,Month in Year,Share,,
BBC Earth,2025,8,"0,167",,
BBC Earth,2025,9,"0,136",,
BBC Earth,2025,10,"0,129",,
BBC Earth,2025,11,"0,149",,
BBC Earth,2025,12,"0,144",,
BBC Earth,2026,1,"0,163",,
BBC Earth,2026,2,"0,155",,
BBC Earth,2026,3,"0,157",,
BBC Earth,2026,4,"0,158",,
BBC Earth,2026,5,"0,142",,
BBC Earth,2026,6,"0,115",,
BBC Earth,2026,7,"0,151",,
BBC Earth,2026,8,"0,161",,
BBC First,2025,1,"0,194",,
BBC First,2025,2,"0,178",,
BBC First,2025,3,"0,181",,
BBC First,2025,4,"0,173",,
BBC First,2025,5,"0,206",,
BBC First,2025,6,"0,241",,
BBC First,2025,7,"0,221",,
BBC First,2025,8,"0,269",,
BBC First,2025,9,"0,171",,
BBC First,2025,10,"0,178",,
BBC First,2025,11,"0,165",,
BBC First,2025,12,"0,160",,
BBC First,2026,1,"0,205",,
BBC First,2026,2,"0,170",,
BBC First,2026,3,"0,259",,
BBC First,2026,4,"0,305",,
BBC First,2026,5,"0,201",,
BBC First,2026,6,"0,155",,
BBC First,2026,7,"0,163",,
BBC First,2026,8,"0,208",,
BBC Lifestyle,2025,1,"0,068",,
BBC Lifestyle,2025,2,"0,070",,
BBC Lifestyle,2025,3,"0,092",,
BBC Lifestyle,2025,4,"0,092",,
BBC Lifestyle,2025,5,"0,100",,
BBC Lifestyle,2025,6,"0,072",,
BBC Lifestyle,2025,7,"0,089",,
BBC Lifestyle,2025,8,"0,141",,
BBC Lifestyle,2025,9,"0,119",,
BBC Lifestyle,2025,10,"0,083",,
BBC Lifestyle,2025,11,"0,083",,
BBC Lifestyle,2025,12,"0,072",,
BBC Lifestyle,2026,1,"0,068",,
BBC Lifestyle,2026,2,"0,065",,
BBC Lifestyle,2026,3,"0,046",,
BBC Lifestyle,2026,4,"0,040",,
BBC Lifestyle,2026,5,"0,064",,
BBC Lifestyle,2026,6,"0,052",,
BBC Lifestyle,2026,7,"0,052",,
BBC Lifestyle,2026,8,"0,074",,
CANAL+ 360,2025,1,"0,081",,
CANAL+ 360,2025,2,"0,112",,
CANAL+ 360,2025,3,"0,093",,
CANAL+ 360,2025,4,"0,112",,
CANAL+ 360,2025,5,"0,086",,
CANAL+ 360,2025,6,"0,069",,
CANAL+ 360,2025,7,"0,089",,
CANAL+ 360,2025,8,"0,109",,
CANAL+ 360,2025,9,"0,101",,
CANAL+ 360,2025,10,"0,096",,
CANAL+ 360,2025,11,"0,084",,
CANAL+ 360,2025,12,"0,083",,
CANAL+ 360,2026,1,"0,104",,
CANAL+ 360,2026,2,"0,100",,
CANAL+ 360,2026,3,"0,097",,
CANAL+ 360,2026,4,"0,101",,
CANAL+ 360,2026,5,"0,092",,
CANAL+ 360,2026,6,"0,082",,
CANAL+ 360,2026,7,"0,080",,
CANAL+ 360,2026,8,"0,087",,
Canal+ Dokument,2025,1,"0,000",,
Canal+ Dokument,2025,2,"0,000",,
Canal+ Dokument,2025,3,"0,000",,
Canal+ Dokument,2025,4,"0,000",,
Canal+ Dokument,2025,5,"0,000",,
Canal+ Dokument,2025,6,"0,000",,
Canal+ Dokument,2025,7,"0,000",,
Canal+ Dokument,2025,8,"0,000",,
Canal+ Dokument,2025,9,"0,000",,
Canal+ Dokument,2025,10,"0,000",,
Canal+ Dokument,2025,11,"0,000",,
Canal+ Dokument,2025,12,"0,000",,
Canal+ Dokument,2026,1,"0,035",,
Canal+ Dokument,2026,2,"0,029",,
Canal+ Dokument,2026,3,"0,040",,
Canal+ Dokument,2026,4,"0,028",,
Canal+ Dokument,2026,5,"0,021",,
Canal+ Dokument,2026,6,"0,020",,
Canal+ Dokument,2026,7,"0,019",,
Canal+ Dokument,2026,8,"0,021",,
CANAL+ DOMO,2025,1,"0,104",,
CANAL+ DOMO,2025,2,"0,097",,
CANAL+ DOMO,2025,3,"0,117",,
CANAL+ DOMO,2025,4,"0,120",,
CANAL+ DOMO,2025,5,"0,113",,
CANAL+ DOMO,2025,6,"0,104",,
CANAL+ DOMO,2025,7,"0,132",,
CANAL+ DOMO,2025,8,"0,116",,
CANAL+ DOMO,2025,9,"0,100",,
CANAL+ DOMO,2025,10,"0,114",,
CANAL+ DOMO,2025,11,"0,103",,
CANAL+ DOMO,2025,12,"0,109",,
CANAL+ DOMO,2026,1,"0,125",,
CANAL+ DOMO,2026,2,"0,110",,
CANAL+ DOMO,2026,3,"0,109",,
CANAL+ DOMO,2026,4,"0,098",,
CANAL+ DOMO,2026,5,"0,105",,
CANAL+ DOMO,2026,6,"0,103",,
CANAL+ DOMO,2026,7,"0,099",,
CANAL+ DOMO,2026,8,"0,116",,
CANAL+ Extra 1,2025,1,"0,041",,
CANAL+ Extra 1,2025,2,"0,040",,
CANAL+ Extra 1,2025,3,"0,080",,
CANAL+ Extra 1,2025,4,"0,112",,
CANAL+ Extra 1,2025,5,"0,077",,
CANAL+ Extra 1,2025,6,"0,009",,
CANAL+ Extra 1,2025,7,"0,007",,
CANAL+ Extra 1,2025,8,"0,058",,
CANAL+ Extra 1,2025,9,"0,084",,
CANAL+ Extra 1,2025,10,"0,080",,
CANAL+ Extra 1,2025,11,"0,117",,
CANAL+ Extra 1,2025,12,"0,098",,
CANAL+ Extra 1,2026,1,"0,104",,
CANAL+ Extra 1,2026,2,"0,096",,
CANAL+ Extra 1,2026,3,"0,089",,
CANAL+ Extra 1,2026,4,"0,203",,
CANAL+ Extra 1,2026,5,"0,140",,
CANAL+ Extra 1,2026,6,"0,002",,
CANAL+ Extra 1,2026,7,"0,008",,
CANAL+ Extra 1,2026,8,"0,001",,
CANAL+ EXTRA 2,2025,1,"0,000",,
CANAL+ EXTRA 2,2025,2,"0,000",,
CANAL+ EXTRA 2,2025,3,"0,000",,
CANAL+ EXTRA 2,2025,4,"0,000",,
CANAL+ EXTRA 2,2025,5,"0,000",,
CANAL+ EXTRA 2,2025,6,"0,000",,
CANAL+ EXTRA 2,2025,7,"0,000",,
CANAL+ EXTRA 2,2025,8,"0,008",,
CANAL+ EXTRA 2,2025,9,"0,026",,
CANAL+ EXTRA 2,2025,10,"0,018",,
CANAL+ EXTRA 2,2025,11,"0,022",,
CANAL+ EXTRA 2,2025,12,"0,022",,
CANAL+ EXTRA 2,2026,1,"0,043",,
CANAL+ EXTRA 2,2026,2,"0,041",,
CANAL+ EXTRA 2,2026,3,"0,034",,
CANAL+ EXTRA 2,2026,4,"0,007",,
CANAL+ EXTRA 2,2026,5,"0,005",,
CANAL+ EXTRA 2,2026,6,"0,001",,
CANAL+ EXTRA 2,2026,7,"0,001",,
CANAL+ EXTRA 2,2026,8,"0,002",,
CANAL+ KUCHNIA,2025,1,"0,082",,
CANAL+ KUCHNIA,2025,2,"0,083",,
CANAL+ KUCHNIA,2025,3,"0,075",,
CANAL+ KUCHNIA,2025,4,"0,087",,
CANAL+ KUCHNIA,2025,5,"0,127",,
